Device_Name,Type
360 Camera_IoTLifeCycle,Camera
Allure Speaker_Mon(uk),Speaker
Amazon Echo Gen1_Mon(uk),Speaker
Amazon Echo Gen1_Mon(us),Speaker
Amazon Echo Gen1_Our,Speaker
Amazon Echo Gen1_Our2,Speaker
Amazon Echo Gen1_UNSW,Speaker
Amazon Echo Gen1_YT,Speaker
Amazon Echo Gen2_IoTLS,Speaker
Amazon Echo Gen2_Mon(uk),Speaker
Amazon Echo Gen2_Mon(us),Speaker
Amazon Echo Gen3_IoTLS,Speaker
Amazon Echo Gen3_Mon(uk),Speaker
Amazon Echo Gen3_Mon(us),Speaker
Amazon Echo Look_Our,Camera
Amazon Echo Look_Our2,Camera
Amazon Echodot3a_IoTLS,Speaker
Amazon Fire TV_IoTLS,TV
Amazon Fire TV_Mon(uk),TV
Amazon Fire TV_Mon(us),TV
Amazon Fire TV_YT,TV
Amazon T-echodot_IoTLS,Speaker
Amcrest Camera_IoTLS,Camera
Amcrest Camera_Mon(us),Camera
Amcrest Camera_Our2,Camera
Apple Home Pod_YT,Speaker
Apple TV(4thGen)_YT,TV
Apple TV_IoTLS,TV
Apple TV_Mon(uk),TV
Apple TV_Mon(us),TV
Apple home Pod_IoTLS,Speaker
Aqara Camera_IoTLifeCycle,Camera
Aqara Light_IoTLifeCycle,Light
Aqara Plug_IoTLifeCycle,Plug
Aria_IoT-Sentinel,Glasses
August Doorbell Camera_YT,Doorbell
Belkin Net Camera_YT,Camera
Belkin WeMo Crock Pot_YT,Cooker
Belkin WeMo Motion Sensor_UNSW,Sensor
Belkin WeMo Motion Sensor_YT,Sensor
Belkin WeMo Switch_YT,Switch
Belkin Wemo switch_UNSW,Switch
Blink Camera_Mon(uk),Camera
Blink Camera_Mon(us),Camera
Blipcare Blood Pressure Meter_UNSW,BloodPressure
Bose Sound Touch10_YT,Speaker
Bosiwo Camera Wired_Mon(uk),Camera
Bull Plug_IoTLifeCycle,Plug
Canary_YT,Camera
Chamberlain myq Garage Opener_YT,Dooropener
Charger Camera_Mon(uk),Camera
Chinese Web Camera_YT,Camera
Cloud Camera_Mon(us),Camera
Cubetoou Camera_IoTLifeCycle,Camera
D-Link Camera_IoT-Sentinel,Camera
D-Link Door Sensor_IoT-Sentinel,Sensor
D-Link Sensor_IoT-Sentinel,Sensor
D-Link Siren_IoT-Sentinel,Siren
D-Link Switch_IoT-Sentinel,Switch
D-Link Water Sensor_IoT-Sentinel,Sensor
Dalen Light_IoTLifeCycle,Light
Dlink Mov_IoTLS,Camera
Dlink Mov_Mon(us),Camera
Drop Camera_UNSW,Camera
Edimax Plug1101W_IoT-Sentinel,Plug
Edimax Plug2101W_IoT-Sentinel,Plug
Flux Bulb_Mon(us),Bulb
Fos Camera_Our2,Camera
Google Home Mini3_IoTLS,Speaker
Google Home Mini_Mon(uk),Speaker
Google Home Mini_Mon(us),Speaker
Google Home Mini_YT,Speaker
Google Home_Mon(uk),Speaker
Google Home_YT,Speaker
Gosound Plug_IoTLifeCycle,Plug
Govee Sensor_IoTLifeCycle,Sensor
Greatwall Camera_IoTLifeCycle,Camera
HP Printer_UNSW,Printer
Haier Camera_IoTLifeCycle,Camera
Harmon Kardon Invoke_YT,Speaker
Home Matic Plug_IoT-Sentinel,Plug
HoneyWell Thermostat_Mon(uk),Thermostat
Hongyar Plug_IoTLifeCycle,Plug
Honorxiaotun Camera_IoTLifeCycle,Camera
Huawei Camera_IoTLifeCycle,Camera
Huawei Sound_IoTLifeCycle,Speaker
Huaweizhengtai Plug_IoTLifeCycle,Plug
Insteon Camera_UNSW,Camera
Invoke_IoTLS,Speaker
Invoke_Mon(us),Speaker
JD Camera_IoTLifeCycle,Camera
Konka Camera_IoTLifeCycle,Camera
LG Smart TV_IoTLS,TV
LG Smart TV_Mon(us),TV
LG Smart TV_Our,TV
LG Smart TV_Our2,TV
LIFX Bulb_YT,Bulb
Lecheng Camera_IoTLifeCycle,Camera
Lecheng Doorbell_IoTLifeCycle,Doorbell
Lefun Camera Wired_Mon(us),Camera
Lenovo Camera_IoTLifeCycle,Camera
LiFX Bulb_UNSW,Bulb
Logitech Logi Circle_YT,Camera
Luohe Spycamera_Mon(us),Camera
Magic Home Strip_Mon(uk),Strip
Magic Home Strip_Mon(us),Strip
Meross Dooropener_IoTLS,Dooropener
Microseven Camera_Mon(us),Camera
Microwave_IoTLS,Microwave
Microwave_Mon(us),Microwave
Midea Light_IoTLifeCycle,Light
Midea Speaker_IoTLifeCycle,Speaker
Mijia Humidifier_IoTLifeCycle,Humidifier
Mijia Plug_IoTLifeCycle,Plug
Mijia Plugtwo_IoTLifeCycle,Plug
Mingdou Plug_IoTLifeCycle,Plug
Nest CamIQ_YT,Camera
Nest Camera_Our,Camera
Nest Camera_Our2,Camera
Nest Camera_YT,Camera
Nest Dropcam_UNSW,Camera
Nest Guard_YT,SecureSystem
Nest Protect smoke alarm_UNSW,Alarm
Nest Protect smoke alarm_YT,Alarm
Nest Tstat_IoTLS,Thermostat
Nest Tstat_Mon(uk),Thermostat
Nest Tstat_Mon(us),Thermostat
Netatmo Weather Station_Mon(uk),Sensor
Netatmo Weather Station_UNSW,Sensor
Netatmo Welcome_UNSW,Camera
NetgearArlo Camera_YT,Camera
PIX-STAR Photo-frame_UNSW,Photo-frame
Philips Light_IoTLifeCycle,Light
Piper NV_YT,Camera
Pisen Camera_IoTLifeCycle,Camera
Qiaoan Camera_IoTLifeCycle,Camera
Ring Doorbell_Mon(uk),Doorbell
Ring Doorbell_Mon(us),Doorbell
Ring Doorbell_Our,Doorbell
Ring Doorbell_Our2,Doorbell
Ring Doorbell_YT,Doorbell
Roku TV_IoTLS,TV
Roku TV_Mon(uk),TV
Roku TV_Mon(us),TV
Roku TV_YT,TV
Roku4_YT,TV
Roomba_YT,Cleaner
Samsung Dryer_IoTLS,Dryer
Samsung Dryer_Mon(us),Dryer
Samsung Fridge_IoTLS,Fridge
Samsung Smart TV_Mon(uk),TV
Samsung Smart TV_Mon(us),TV
Samsung Smart TV_YT,TV
Samsung SmartCam_UNSW,Camera
Samsung Washer_Mon(us),Washer
Sansung Fridge_Mon(us),Fridge
Shuixing Camera_IoTLifeCycle,Camera
Smart Things_UNSW,Unknown
Smart WiFi Plug01_Our,Plug
Smart WiFi Plug01_Our2,Plug
Smarter Brewer_IoTLS,Brewer
Smarter Brewer_Mon(us),Brewer
Smarter Coffee_Mon(uk),Coffee
Smartlife Bulb_IoTLS,Bulb
Smartlife Remote_IoTLS,Unknown
Smartmi Humidifier_IoTLifeCycle,Humidifier
Sonoff Camera_IoTLifeCycle,Camera
Sonos_YT,Speaker
Sousvide_Mon(uk),Sousvide
Sousvide_Mon(us),Sousvide
T-wemo Plug_Mon(uk),Plug
T-wemo Plug_Mon(us),Plug
TP-Link Blub_IoTLS,Bulb
TP-Link Bulb_Mon(uk),Bulb
TP-Link Bulb_Mon(us),Bulb
TP-Link Camera_IoTLifeCycle,Camera
TP-Link Day Night Cloud camera_UNSW,Camera
TP-Link Doorbell_IoTLifeCycle,Doorbell
TP-Link PlugHS100_IoT-Sentinel,Plug
TP-Link PlugHS110_IoT-Sentinel,Plug
TP-Link Plug_Mon(uk),Plug
TP-Link Plug_Mon(us),Plug
TP-Link Smart Plug_UNSW,Plug
TP-Link SmartWiFi LED Bulb_YT,Bulb
TP-Link WiFi Plug_IoTLS,Plug
TP-Link WiFi Plug_YT,Plug
Tenda Camera_IoTLifeCycle,Camera
Tianmao Speaker_IoTLifeCycle,Speaker
Triby Speaker_UNSW,Speaker
Tuya Plug_IoTLifeCycle,Plug
Tuya Sensor_IoTLifeCycle,Sensor
Wansview Camera Wired_Mon(uk),Camera
Wansview Camera Wired_Mon(us),Camera
WeMo Insight Switch2_IoT-Sentinel,Switch
WeMo Insight Switch_IoT-Sentinel,Switch
WeMo Switch2_IoT-Sentinel,Switch
WeMo Switch_IoT-Sentinel,Switch
Wemo Plug_IoTLS,Plug
Withings Aura smart sleep sensor_UNSW,Sensor
Withings Home_YT,Camera
Withings Smart Baby Monitor_UNSW,BabyMonitor
Withings Smart scale_UNSW,Scale
Withings_IoT-Sentinel,Unknown
Wiz Light_IoTLifeCycle,Light
Xiangrikui Plug_IoTLifeCycle,Plug
Xiaobai Camera_IoTLifeCycle,Camera
Xiaobai Doorbell_IoTLifeCycle,Doorbell
Xiaobai Y2camera_IoTLifeCycle,Camera
Xiaodu Clock_IoTLifeCycle,Clock
Xiaodu Plug_IoTLifeCycle,Plug
Xiaodu Sensor_IoTLifeCycle,Sensor
Xiaojingyu Clock_IoTLifeCycle,Clock
Xiaomao Camera_IoTLifeCycle,Camera
Xiaomi Camera3_IoTLifeCycle,Camera
Xiaomi Camera_IoTLifeCycle,Camera
Xiaomi Camera_Mon(uk),Camera
Xiaomi Cleaner_Mon(uk),Cleaner
Xiaomi Cleaner_Mon(us),Cleaner
Xiaomi Ricecooker_Mon(us),Cooker
Xiaomi Sound_IoTLifeCycle,Speaker
Xiaomi Speaker_IoTLifeCycle,Speaker
Xiaomi Strip_Mon(us),Strip
Xiaopai Camera_IoTLifeCycle,Camera
Xiaotun Camera_IoTLifeCycle,Camera
Xiaovv Camera_IoTLifeCycle,Camera
Yi Camera_IoTLS,Camera
Yi Camera_Mon(uk),Camera
Yi Camera_Mon(us),Camera
Yibang Camera_IoTLifeCycle,Camera
Yingshi Camera_IoTLifeCycle,Camera
Yingshi Plug_IoTLifeCycle,Plug
Yingshi Sensor_IoTLifeCycle,Sensor
Zmodo Doorbell_IoTLS,Doorbell
Zmodo Doorbell_Mon(us),Doorbell
Zte Camera_IoTLifeCycle,Camera
deebot_cleaner_IoTLifeCycle,Cleaner
duonisi_feeder_IoTLifeCycle,Feeder
huawei_tv_IoTLifeCycle,TV
iHome_UNSW,Speaker
midea_mirror_IoTLifeCycle,Mirror
nVidia Shield_YT,TV
qianniao_camera_IoTLifeCycle,Camera
smarter Ikettle_Mon(us),Kettle
smarter ikettle_IoTLS,Kettle
xiaobaismart_camera_IoTLifeCycle,Camera
xiaodu_speaker_IoTLifeCycle,Speaker
xiaomitv_speaker_IoTLifeCycle,Speaker
